主要诊断编码,主要诊断名称,其他诊断编码,其他诊断名称,并发症评级,病案数
A09.004,感染性腹泻,K76.900x002,肝损害,合并症/并发症,3
A09.004,感染性腹泻,R57.200,脓毒性休克,严重合并症/并发症,4
A09.004,感染性腹泻,R65.900,,严重合并症/并发症,3
A09.900x003,急性肠炎,A41.900,脓毒症,严重合并症/并发症,4
A09.900x003,急性肠炎,E04.101,甲状腺结节,合并症/并发症,3
A09.900x003,急性肠炎,E46.x00x003,营养不良,合并症/并发症,3
A09.900x003,急性肠炎,E77.801,低蛋白血症,合并症/并发症,4
A09.900x003,急性肠炎,E87.600,低钾血症,合并症/并发症,17
A09.900x003,急性肠炎,G31.902,脑萎缩,合并症/并发症,3
A09.900x003,急性肠炎,I11.002,高血压心脏病伴心力衰竭,合并症/并发症,4
A09.900x003,急性肠炎,I11.901,高血压性心脏病,合并症/并发症,3
A09.900x003,急性肠炎,I50.906,心肌损害,严重合并症/并发症,4
A09.900x003,急性肠炎,I69.300,脑梗死后遗症,合并症/并发症,3
A09.900x003,急性肠炎,J44.900,慢性阻塞性肺病,合并症/并发症,4
A09.900x003,急性肠炎,J98.414,肺部感染,合并症/并发症,3
A09.900x003,急性肠炎,K76.800x006,肝功能不全,合并症/并发症,4
A09.900x003,急性肠炎,K76.807,肝囊肿,合并症/并发症,6
A09.900x003,急性肠炎,N19.x03,肾功能不全,严重合并症/并发症,4
A09.900x003,急性肠炎,R18.x00x005,腹腔积液,合并症/并发症,6
A09.900x006,肠炎,D69.600,血小板减少,合并症/并发症,6
A09.900x006,肠炎,D70.x04,白细胞减少,合并症/并发症,8
A09.900x006,肠炎,E77.801,低蛋白血症,合并症/并发症,7
A09.900x006,肠炎,E87.600,低钾血症,合并症/并发症,25
A09.900x006,肠炎,E87.801,电解质代谢紊乱,合并症/并发症,6
A09.900x006,肠炎,F41.101,焦虑状态,合并症/并发症,3
A09.900x006,肠炎,G31.902,脑萎缩,合并症/并发症,6
A09.900x006,肠炎,I11.901,高血压性心脏病,合并症/并发症,3
A09.900x006,肠炎,I25.500,缺血性心肌病,合并症/并发症,4
A09.900x006,肠炎,I27.900,肺源性心脏病,严重合并症/并发症,5
A09.900x006,肠炎,I50.105,慢性左心功能不全,严重合并症/并发症,3
A09.900x006,肠炎,I50.900x007,心功能Ⅱ级(NYHA分级),严重合并症/并发症,3
A09.900x006,肠炎,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,4
A09.900x006,肠炎,I50.906,心肌损害,严重合并症/并发症,9
A09.900x006,肠炎,J04.100,急性气管炎,合并症/并发症,3
A09.900x006,肠炎,J18.900,肺炎,合并症/并发症,4
A09.900x006,肠炎,J44.900,慢性阻塞性肺病,合并症/并发症,10
A09.900x006,肠炎,J98.414,肺部感染,合并症/并发症,3
A09.900x006,肠炎,K76.807,肝囊肿,合并症/并发症,7
A09.900x006,肠炎,K81.900,胆囊炎,合并症/并发症,4
A09.900x006,肠炎,M48.903,腰椎退行性病变,合并症/并发症,3
A09.900x006,肠炎,N94.806,盆腔积液,合并症/并发症,3
A09.900x006,肠炎,R74.803,心肌酶谱异常,合并症/并发症,3
A09.900x007,腹泻,A08.000,轮状病毒性肠炎,合并症/并发症,3
A09.900x007,腹泻,A41.900,脓毒症,严重合并症/并发症,6
A09.900x007,腹泻,A49.902,革兰阴性杆菌感染,合并症/并发症,4
A09.900x007,腹泻,B37.000,念珠菌性口炎,合并症/并发症,5
A09.900x007,腹泻,B37.001,口腔念珠菌感染,合并症/并发症,5
A09.900x007,腹泻,D69.600,血小板减少,合并症/并发症,4
A09.900x007,腹泻,D70.x00,粒细胞缺乏,合并症/并发症,6
A09.900x007,腹泻,D70.x04,白细胞减少,合并症/并发症,15
A09.900x007,腹泻,D70.x05,中性粒细胞减少症,合并症/并发症,6
A09.900x007,腹泻,D80.901,免疫球蛋白缺乏,严重合并症/并发症,4
A09.900x007,腹泻,E16.200,低血糖,合并症/并发症,4
A09.900x007,腹泻,E46.x00x003,营养不良,合并症/并发症,7
A09.900x007,腹泻,E55.900,维生素D缺乏病,合并症/并发症,6
A09.900x007,腹泻,E63.900,营养缺乏,合并症/并发症,7
A09.900x007,腹泻,E77.801,低蛋白血症,合并症/并发症,12
A09.900x007,腹泻,E83.503,低钙血症,合并症/并发症,4
A09.900x007,腹泻,E87.201,代谢性酸中毒,合并症/并发症,4
A09.900x007,腹泻,E87.500,高钾血症,合并症/并发症,3
A09.900x007,腹泻,E87.600,低钾血症,合并症/并发症,125
A09.900x007,腹泻,E87.801,电解质代谢紊乱,合并症/并发症,20
A09.900x007,腹泻,I25.500,缺血性心肌病,合并症/并发症,3
A09.900x007,腹泻,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,4
A09.900x007,腹泻,I50.906,心肌损害,严重合并症/并发症,99
A09.900x007,腹泻,I51.400,心肌炎,合并症/并发症,29
A09.900x007,腹泻,J18.000,支气管肺炎,合并症/并发症,66
A09.900x007,腹泻,J18.900,肺炎,合并症/并发症,43
A09.900x007,腹泻,J21.900,急性细支气管炎,合并症/并发症,7
A09.900x007,腹泻,J21.901,急性喘息性支气管炎,合并症/并发症,8
A09.900x007,腹泻,J44.100,慢性阻塞性肺病伴有急性加重,严重合并症/并发症,4
A09.900x007,腹泻,J44.900,慢性阻塞性肺病,合并症/并发症,4
A09.900x007,腹泻,J98.414,肺部感染,合并症/并发症,10
A09.900x007,腹泻,K56.701,不完全性肠梗阻,合并症/并发症,3
A09.900x007,腹泻,K76.807,肝囊肿,合并症/并发症,3
A09.900x007,腹泻,K76.900x002,肝损害,合并症/并发症,4
A09.900x007,腹泻,K81.900,胆囊炎,合并症/并发症,3
A09.900x007,腹泻,L04.900,急性淋巴结炎,合并症/并发症,6
A09.900x007,腹泻,M48.903,腰椎退行性病变,合并症/并发症,5
A09.900x007,腹泻,M81.900,骨质疏松,合并症/并发症,6
A09.900x007,腹泻,N34.200x003,尿道溃疡,合并症/并发症,3
A09.900x007,腹泻,Q21.100,房间隔缺损,严重合并症/并发症,4
A09.900x007,腹泻,R18.x00,腹水,合并症/并发症,4
A09.900x007,腹泻,R56.801,癫痫样发作,合并症/并发症,3
A09.900x007,腹泻,R56.803,惊厥,合并症/并发症,9
A09.901,胃肠炎,A05.900,细菌性食物中毒,合并症/并发症,4
A09.901,胃肠炎,A09.004,感染性腹泻,合并症/并发症,4
A09.901,胃肠炎,A41.900,脓毒症,严重合并症/并发症,139
A09.901,胃肠炎,A49.902,革兰阴性杆菌感染,合并症/并发症,4
A09.901,胃肠炎,A53.000x001,隐性梅毒,合并症/并发症,5
A09.901,胃肠炎,B02.202+G53.0*,带状疱疹性神经痛,合并症/并发症,5
A09.901,胃肠炎,B02.900x001,带状疱疹,合并症/并发症,7
A09.901,胃肠炎,B24.x01,艾滋病,严重合并症/并发症,7
A09.901,胃肠炎,B37.001,口腔念珠菌感染,合并症/并发症,3
A09.901,胃肠炎,B65.800x001,湄公血吸虫病,严重合并症/并发症,5
A09.901,胃肠炎,B65.900x004+K77.0*,血吸虫性门静脉高压,严重合并症/并发症,4
A09.901,胃肠炎,B65.903+K77.0*,血吸虫性肝炎,严重合并症/并发症,3
A09.901,胃肠炎,B77.000x001+K93.8*,肠蛔虫病,合并症/并发症,7
A09.901,胃肠炎,B77.900,蛔虫病,合并症/并发症,8
A09.901,胃肠炎,B82.900,肠道寄生虫病,合并症/并发症,3
A09.901,胃肠炎,B99.x01,感染性发热,合并症/并发症,8
A09.901,胃肠炎,C18.900,结肠恶性肿瘤,合并症/并发症,3
A09.901,胃肠炎,C20.x00,直肠恶性肿瘤,合并症/并发症,8
A09.901,胃肠炎,C22.900,肝恶性肿瘤,合并症/并发症,5
A09.901,胃肠炎,C34.900x001,肺恶性肿瘤,合并症/并发症,5
A09.901,胃肠炎,C53.900,宫颈恶性肿瘤,合并症/并发症,3
A09.901,胃肠炎,C61.x00,前列腺恶性肿瘤,合并症/并发症,3
A09.901,胃肠炎,D50.900,缺铁性贫血,合并症/并发症,13
A09.901,胃肠炎,D61.101,化疗后骨髓抑制,严重合并症/并发症,3
A09.901,胃肠炎,D68.902,凝血障碍,严重合并症/并发症,9
A09.901,胃肠炎,D69.004,过敏性紫癜,合并症/并发症,6
A09.901,胃肠炎,D69.600,血小板减少,合并症/并发症,45
A09.901,胃肠炎,D70.x00,粒细胞缺乏,合并症/并发症,4
A09.901,胃肠炎,D70.x01,急性粒细胞缺乏症,合并症/并发症,5
A09.901,胃肠炎,D70.x04,白细胞减少,合并症/并发症,125
A09.901,胃肠炎,D70.x05,中性粒细胞减少症,合并症/并发症,24
A09.901,胃肠炎,D73.400,脾囊肿,合并症/并发症,3
A09.901,胃肠炎,E03.801,继发性甲状腺功能减退症,合并症/并发症,3
A09.901,胃肠炎,E03.802,原发性甲状腺功能减退症,合并症/并发症,6
A09.901,胃肠炎,E04.101,甲状腺结节,合并症/并发症,22
A09.901,胃肠炎,E04.102,甲状腺囊肿,合并症/并发症,5
A09.901,胃肠炎,E11.103,2型糖尿病性酮症,严重合并症/并发症,5
A09.901,胃肠炎,E11.201+N08.3*,2型糖尿病性肾病,合并症/并发症,14
A09.901,胃肠炎,E11.300x011+H36.0*,2型糖尿病性背景性视网膜病,合并症/并发症,5
A09.901,胃肠炎,E11.301+H36.0*,2型糖尿病性视网膜病变,合并症/并发症,7
A09.901,胃肠炎,E11.401+G63.2*,2型糖尿病性周围神经病,合并症/并发症,24
A09.901,胃肠炎,E11.501+I79.2*,2型糖尿病性周围血管病变,合并症/并发症,12
A09.901,胃肠炎,E11.503,2型糖尿病足病,合并症/并发症,4
A09.901,胃肠炎,E11.700x011,2型糖尿病性多发性微血管并发症,合并症/并发症,4
A09.901,胃肠炎,E16.200,低血糖,合并症/并发症,17
A09.901,胃肠炎,E41.x01,重度营养不良伴消瘦,合并症/并发症,6
A09.901,胃肠炎,E46.x00x002,低蛋白性营养不良,合并症/并发症,7
A09.901,胃肠炎,E46.x00x003,营养不良,合并症/并发症,4
A09.901,胃肠炎,E55.900,维生素D缺乏病,合并症/并发症,5
A09.901,胃肠炎,E77.801,低蛋白血症,合并症/并发症,83
A09.901,胃肠炎,E78.900,脂蛋白代谢紊乱,合并症/并发症,3
A09.901,胃肠炎,E83.304,低磷血症,合并症/并发症,7
A09.901,胃肠炎,E83.401,低镁血症,合并症/并发症,15
A09.901,胃肠炎,E83.503,低钙血症,合并症/并发症,28
A09.901,胃肠炎,E87.102,低钠血症,合并症/并发症,74
A09.901,胃肠炎,E87.200x002,高血氯性酸中毒,合并症/并发症,10
A09.901,胃肠炎,E87.201,代谢性酸中毒,合并症/并发症,40
A09.901,胃肠炎,E87.303,呼吸性碱中毒,合并症/并发症,12
A09.901,胃肠炎,E87.500,高钾血症,合并症/并发症,35
A09.901,胃肠炎,E87.600,低钾血症,合并症/并发症,546
A09.901,胃肠炎,E87.801,电解质代谢紊乱,合并症/并发症,173
A09.901,胃肠炎,E87.803,低氯血症,合并症/并发症,29
A09.901,胃肠炎,F03.x01,老年性痴呆,严重合并症/并发症,7
A09.901,胃肠炎,F32.901,抑郁状态,合并症/并发症,7
A09.901,胃肠炎,F41.101,焦虑状态,合并症/并发症,14
A09.901,胃肠炎,F41.201,焦虑性抑郁症,合并症/并发症,3
A09.901,胃肠炎,F45.302,换气过度综合征,合并症/并发症,4
A09.901,胃肠炎,F51.000,非器质性失眠症,合并症/并发症,10
A09.901,胃肠炎,G20.x00,帕金森病,合并症/并发症,12
A09.901,胃肠炎,G20.x03,帕金森综合征,合并症/并发症,15
A09.901,胃肠炎,G31.101,老年性脑萎缩,合并症/并发症,4
A09.901,胃肠炎,G31.203,酒精中毒性脑病,合并症/并发症,3
A09.901,胃肠炎,G31.902,脑萎缩,合并症/并发症,108
A09.901,胃肠炎,G37.802,脱髓鞘性白质脑病,合并症/并发症,27
A09.901,胃肠炎,G58.001,肋间神经痛,合并症/并发症,3
A09.901,胃肠炎,G72.301,低钾型周期性麻痹,合并症/并发症,4
A09.901,胃肠炎,G80.900,大脑性瘫痪［脑瘫］,合并症/并发症,5
A09.901,胃肠炎,G81.900,偏瘫,合并症/并发症,3
A09.901,胃肠炎,G82.200,截瘫,合并症/并发症,3
A09.901,胃肠炎,H10.900,结膜炎,合并症/并发症,6
A09.901,胃肠炎,I00.x01,风湿性关节炎,合并症/并发症,5
A09.901,胃肠炎,I09.900,风湿性心脏病,合并症/并发症,24
A09.901,胃肠炎,I11.002,高血压心脏病伴心力衰竭,合并症/并发症,16
A09.901,胃肠炎,I11.901,高血压性心脏病,合并症/并发症,108
A09.901,胃肠炎,I12.000x001,高血压性肾衰竭,严重合并症/并发症,6
A09.901,胃肠炎,I20.900,心绞痛,合并症/并发症,3
A09.901,胃肠炎,I24.801,急性冠状动脉供血不足,合并症/并发症,3
A09.901,胃肠炎,I24.900x001,急性心肌缺血,合并症/并发症,3
A09.901,胃肠炎,I25.200,,合并症/并发症,6
A09.901,胃肠炎,I25.207,,合并症/并发症,4
A09.901,胃肠炎,I25.500,缺血性心肌病,合并症/并发症,46
A09.901,胃肠炎,I25.600x001,隐匿性冠状动脉粥样硬化性心脏病,合并症/并发症,80
A09.901,胃肠炎,I25.901,冠状动脉性心脏病,合并症/并发症,68
A09.901,胃肠炎,I27.200x012,肺动脉高压,严重合并症/并发症,5
A09.901,胃肠炎,I27.200x021,中度肺动脉高压,严重合并症/并发症,4
A09.901,胃肠炎,I27.900,肺源性心脏病,严重合并症/并发症,68
A09.901,胃肠炎,I27.900x002,慢性肺源性心脏病,严重合并症/并发症,11
A09.901,胃肠炎,I31.300,心包积液(非炎性),合并症/并发症,7
A09.901,胃肠炎,I35.804,退行性主动脉瓣疾患,合并症/并发症,6
A09.901,胃肠炎,I42.000x001,家族性扩张性心肌病,合并症/并发症,10
A09.901,胃肠炎,I48.000,阵发性心房颤动,合并症/并发症,8
A09.901,胃肠炎,I50.105,慢性左心功能不全,严重合并症/并发症,33
A09.901,胃肠炎,I50.900,心力衰竭,严重合并症/并发症,25
A09.901,胃肠炎,I50.900x001,低心排综合征,严重合并症/并发症,3
A09.901,胃肠炎,I50.900x002,心功能不全,严重合并症/并发症,10
A09.901,胃肠炎,I50.900x007,心功能Ⅱ级(NYHA分级),严重合并症/并发症,73
A09.901,胃肠炎,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,92
A09.901,胃肠炎,I50.900x010,心功能IV级(NYHA分级),严重合并症/并发症,19
A09.901,胃肠炎,I50.906,心肌损害,严重合并症/并发症,252
A09.901,胃肠炎,I50.908,慢性心力衰竭,严重合并症/并发症,9
A09.901,胃肠炎,I51.400,心肌炎,合并症/并发症,23
A09.901,胃肠炎,I51.402,老年性心脏病,合并症/并发症,28
A09.901,胃肠炎,I63.200,入脑前动脉的闭塞或狭窄引起的脑梗死,严重合并症/并发症,4
A09.901,胃肠炎,I64.x01,脑血管意外,合并症/并发症,3
A09.901,胃肠炎,I69.100x001,脑出血后遗症,合并症/并发症,5
A09.901,胃肠炎,I69.300,脑梗死后遗症,合并症/并发症,44
A09.901,胃肠炎,I69.802,脑血管病后遗症,合并症/并发症,3
A09.901,胃肠炎,I70.203,下肢动脉粥样硬化,合并症/并发症,6
A09.901,胃肠炎,I80.303,下肢静脉血栓形成,合并症/并发症,4
A09.901,胃肠炎,I85.900x001,食管静脉曲张,合并症/并发症,4
A09.901,胃肠炎,I88.900x006,淋巴结炎,合并症/并发症,10
A09.901,胃肠炎,I95.101,体位性低血压,合并症/并发症,5
A09.901,胃肠炎,I95.900,低血压,合并症/并发症,33
A09.901,胃肠炎,J11.100x001,未知病毒的流感性感冒,合并症/并发症,3
A09.901,胃肠炎,J15.902,社区获得性肺炎，非重症,合并症/并发症,5
A09.901,胃肠炎,J18.000,支气管肺炎,合并症/并发症,18
A09.901,胃肠炎,J18.900,肺炎,合并症/并发症,47
A09.901,胃肠炎,J21.901,急性喘息性支气管炎,合并症/并发症,15
A09.901,胃肠炎,J32.000,慢性上颌窦炎,合并症/并发症,10
A09.901,胃肠炎,J32.200,慢性筛窦炎,合并症/并发症,5
A09.901,胃肠炎,J44.000,慢性阻塞性肺病伴有急性下呼吸道感染,严重合并症/并发症,7
A09.901,胃肠炎,J44.100,慢性阻塞性肺病伴有急性加重,严重合并症/并发症,82
A09.901,胃肠炎,J44.801,慢性支气管炎伴肺气肿,合并症/并发症,88
A09.901,胃肠炎,J44.802,慢性喘息性支气管炎,合并症/并发症,5
A09.901,胃肠炎,J44.900,慢性阻塞性肺病,合并症/并发症,169
A09.901,胃肠炎,J44.900x002,慢性阻塞性肺疾病I级,合并症/并发症,3
A09.901,胃肠炎,J47.x00,支气管扩张(症),合并症/并发症,11
A09.901,胃肠炎,J84.101,肺间质纤维化,合并症/并发症,3
A09.901,胃肠炎,J94.804,胸腔积液,合并症/并发症,37
A09.901,胃肠炎,J96.900x001,呼吸衰竭,严重合并症/并发症,9
A09.901,胃肠炎,J98.400x001,肺病,合并症/并发症,3
A09.901,胃肠炎,J98.403,肺功能不全,合并症/并发症,6
A09.901,胃肠炎,J98.414,肺部感染,合并症/并发症,199
A09.901,胃肠炎,K05.102,增生性牙龈炎,合并症/并发症,3
A09.901,胃肠炎,K12.109,口腔黏膜溃疡,合并症/并发症,5
A09.901,胃肠炎,K22.100,食管溃疡,合并症/并发症,11
A09.901,胃肠炎,K25.300,,合并症/并发症,9
A09.901,胃肠炎,K25.700,慢性胃溃疡不伴有出血或穿孔,合并症/并发症,16
A09.901,胃肠炎,K26.300,急性十二指肠溃疡不伴有出血和穿孔,合并症/并发症,4
A09.901,胃肠炎,K26.700,,合并症/并发症,4
A09.901,胃肠炎,K26.701,慢性十二指肠溃疡,合并症/并发症,10
A09.901,胃肠炎,K29.001,急性糜烂出血性胃炎,合并症/并发症,4
A09.901,胃肠炎,K30.x00,功能性消化不良,合并症/并发症,3
A09.901,胃肠炎,K31.902,胃肿物,合并症/并发症,4
A09.901,胃肠炎,K31.904,急性胃黏膜病变,合并症/并发症,7
A09.901,胃肠炎,K31.905,胃黏膜病变,合并症/并发症,4
A09.901,胃肠炎,K44.901,食管裂孔疝,合并症/并发症,13
A09.901,胃肠炎,K50.900,克罗恩病,合并症/并发症,3
A09.901,胃肠炎,K51.900,溃疡性结肠炎,合并症/并发症,7
A09.901,胃肠炎,K55.902,缺血性肠病,合并症/并发症,5
A09.901,胃肠炎,K56.500x003,粘连性肠梗阻,合并症/并发症,4
A09.901,胃肠炎,K56.700,肠梗阻,合并症/并发症,17
A09.901,胃肠炎,K56.701,不完全性肠梗阻,合并症/并发症,54
A09.901,胃肠炎,K58.800,其他和未特指的肠易激综合征,合并症/并发症,6
A09.901,胃肠炎,K59.101,肠道菌群失调,合并症/并发症,22
A09.901,胃肠炎,K59.900x001,肠功能紊乱,合并症/并发症,18
A09.901,胃肠炎,K60.200,肛裂,合并症/并发症,3
A09.901,胃肠炎,K62.301,直肠黏膜脱垂,合并症/并发症,3
A09.901,胃肠炎,K62.811,直肠炎,合并症/并发症,18
A09.901,胃肠炎,K63.305,结肠溃疡,合并症/并发症,4
A09.901,胃肠炎,K63.809,结肠积气,合并症/并发症,12
A09.901,胃肠炎,K63.812,结肠黑变病,合并症/并发症,3
A09.901,胃肠炎,K63.900x001,结肠肿物,合并症/并发症,4
A09.901,胃肠炎,K64.900,痔,合并症/并发症,14
A09.901,胃肠炎,K64.901,出血性痔,合并症/并发症,8
A09.901,胃肠炎,K65.806,多浆膜腔积液,严重合并症/并发症,4
A09.901,胃肠炎,K65.901,局限性腹膜炎,合并症/并发症,9
A09.901,胃肠炎,K70.100,酒精性肝炎,合并症/并发症,3
A09.901,胃肠炎,K70.900,酒精性肝病,合并症/并发症,4
A09.901,胃肠炎,K72.900x001,肝功能衰竭,严重合并症/并发症,9
A09.901,胃肠炎,K74.601,特指肝硬化,合并症/并发症,3
A09.901,胃肠炎,K74.607,肝硬化失代偿期,合并症/并发症,13
A09.901,胃肠炎,K76.600x002,门脉高压,合并症/并发症,3
A09.901,胃肠炎,K76.800x006,肝功能不全,合并症/并发症,112
A09.901,胃肠炎,K76.806,多发性肝囊肿,合并症/并发症,4
A09.901,胃肠炎,K76.807,肝囊肿,合并症/并发症,175
A09.901,胃肠炎,K76.813,肝内钙化点,合并症/并发症,4
A09.901,胃肠炎,K80.000x002,胆囊结石伴急性胆囊炎,合并症/并发症,19
A09.901,胃肠炎,K81.000,急性胆囊炎,合并症/并发症,28
A09.901,胃肠炎,K81.006,慢性胆囊炎急性发作,合并症/并发症,3
A09.901,胃肠炎,K81.801,胆囊周炎,合并症/并发症,3
A09.901,胃肠炎,K81.900,胆囊炎,合并症/并发症,116
A09.901,胃肠炎,K82.400,胆囊胆固醇沉着症,合并症/并发症,6
A09.901,胃肠炎,K83.800x012,胆汁反流,合并症/并发症,7
A09.901,胃肠炎,K83.805,肝胆管扩张,合并症/并发症,10
A09.901,胃肠炎,K83.807,胆管扩张,合并症/并发症,3
A09.901,胃肠炎,K83.817,胆总管扩张,合并症/并发症,13
A09.901,胃肠炎,K85.900,急性胰腺炎,严重合并症/并发症,14
A09.901,胃肠炎,K86.100x001,复发性胰腺炎,合并症/并发症,3
A09.901,胃肠炎,K91.802,残胃吻合口炎,合并症/并发症,3
A09.901,胃肠炎,K92.200x001,便血,合并症/并发症,3
A09.901,胃肠炎,K92.207,急性上消化道出血,合并症/并发症,7
A09.901,胃肠炎,K92.208,上消化道出血,合并症/并发症,10
A09.901,胃肠炎,K92.210,消化道出血,合并症/并发症,46
A09.901,胃肠炎,K92.901,胃肠功能紊乱,合并症/并发症,38
A09.901,胃肠炎,L04.900,急性淋巴结炎,合并症/并发症,8
A09.901,胃肠炎,L28.203,丘疹性荨麻疹,合并症/并发症,6
A09.901,胃肠炎,L29.900,瘙痒(症),合并症/并发症,3
A09.901,胃肠炎,L40.900,银屑病,合并症/并发症,5
A09.901,胃肠炎,L80.x00,白癜风,合并症/并发症,3
A09.901,胃肠炎,L89.900,受压区压疮,严重合并症/并发症,3
A09.901,胃肠炎,M10.002,痛风性关节炎,合并症/并发症,29
A09.901,胃肠炎,M17.000,原发性双侧膝关节病,合并症/并发症,17
A09.901,胃肠炎,M19.902,肘关节关节病,合并症/并发症,3
A09.901,胃肠炎,M32.900,系统性红斑狼疮,严重合并症/并发症,9
A09.901,胃肠炎,M35.000,干燥综合征[舍格伦],严重合并症/并发症,4
A09.901,胃肠炎,M45.x00,强直性脊柱炎,合并症/并发症,3
A09.901,胃肠炎,M48.005,腰椎椎管狭窄,合并症/并发症,4
A09.901,胃肠炎,M48.900x002,腰椎骨质增生,合并症/并发症,17
A09.901,胃肠炎,M48.901,颈椎退行性病变,合并症/并发症,22
A09.901,胃肠炎,M48.902,胸椎退行性病变,合并症/并发症,19
A09.901,胃肠炎,M48.903,腰椎退行性病变,合并症/并发症,55
A09.901,胃肠炎,M54.300,坐骨神经痛,合并症/并发症,3
A09.901,胃肠炎,M80.801,老年性骨质疏松伴病理性骨折,合并症/并发症,3
A09.901,胃肠炎,M81.900,骨质疏松,合并症/并发症,79
A09.901,胃肠炎,M89.800x501,股骨非骨化性纤维瘤,合并症/并发症,11
A09.901,胃肠炎,N04.900,肾病综合征,合并症/并发症,4
A09.901,胃肠炎,N10.x02,急性肾盂肾炎,合并症/并发症,3
A09.901,胃肠炎,N17.900,急性肾衰竭,严重合并症/并发症,15
A09.901,胃肠炎,N17.900x003,急性肾功能不全,严重合并症/并发症,13
A09.901,胃肠炎,N18.200,慢性肾脏病2期,合并症/并发症,6
A09.901,胃肠炎,N18.300,慢性肾脏病3期,合并症/并发症,13
A09.901,胃肠炎,N18.400,慢性肾脏病4期,严重合并症/并发症,6
A09.901,胃肠炎,N18.900x012+D63.8*,肾性贫血,合并症/并发症,6
A09.901,胃肠炎,N18.902,慢性肾衰竭,合并症/并发症,26
A09.901,胃肠炎,N18.904,慢性肾功能不全,合并症/并发症,21
A09.901,胃肠炎,N19.x00,肾衰竭,严重合并症/并发症,19
A09.901,胃肠炎,N19.x01,尿毒症,严重合并症/并发症,3
A09.901,胃肠炎,N19.x03,肾功能不全,严重合并症/并发症,55
A09.901,胃肠炎,N28.901,肾病,合并症/并发症,3
A09.901,胃肠炎,N30.000,急性膀胱炎,合并症/并发症,6
A09.901,胃肠炎,N30.900,膀胱炎,合并症/并发症,5
A09.901,胃肠炎,N32.300,膀胱憩室,合并症/并发症,5
A09.901,胃肠炎,N34.200x003,尿道溃疡,合并症/并发症,16
A09.901,胃肠炎,N34.204,急性尿道炎,合并症/并发症,4
A09.901,胃肠炎,N41.100,慢性前列腺炎,合并症/并发症,3
A09.901,胃肠炎,N42.802,前列腺囊肿,合并症/并发症,10
A09.901,胃肠炎,N42.901,前列腺肿物,合并症/并发症,7
A09.901,胃肠炎,N93.900,异常的子宫和阴道出血,严重合并症/并发症,3
A09.901,胃肠炎,N94.806,盆腔积液,合并症/并发症,51
A09.901,胃肠炎,N94.807,盆腔囊肿,合并症/并发症,6
A09.901,胃肠炎,N95.201,老年性阴道炎,合并症/并发症,3
A09.901,胃肠炎,Q05.900,脊柱裂,合并症/并发症,4
A09.901,胃肠炎,Q21.100,房间隔缺损,严重合并症/并发症,3
A09.901,胃肠炎,Q40.209,食管胃黏膜异位,合并症/并发症,3
A09.901,胃肠炎,Q44.601,多囊肝,合并症/并发症,5
